"Region","reserve_ct","station_ct","decreasing","increasing","no_trend","insuff_data","parameter"
"Gulf of Mexico",5,5,0,1,4,0,"totprcp"
"Midatlantic",5,5,1,0,4,0,"totprcp"
"Northeast",4,4,1,0,3,0,"totprcp"
"Pacific",1,NA,NA,NA,NA,NA,"totprcp"
"Southeast",5,5,0,1,4,0,"totprcp"
"West Coast",6,6,0,1,4,1,"totprcp"
"Caribbean",1,4,3,0,1,0,"turb"
"Great Lakes",2,8,1,0,6,1,"turb"
"Gulf of Mexico",5,21,8,1,12,0,"turb"
"Midatlantic",5,20,6,2,12,0,"turb"
"Northeast",4,16,6,2,8,0,"turb"
"Pacific",1,NA,NA,NA,NA,NA,"turb"
"Southeast",5,20,3,11,5,1,"turb"
"West Coast",6,24,7,8,9,0,"turb"
"Caribbean",1,2,0,0,2,0,"wspd"
"Great Lakes",2,4,1,0,1,2,"wspd"
"Gulf of Mexico",5,10,6,0,4,0,"wspd"
"Midatlantic",5,10,3,0,7,0,"wspd"
"Northeast",4,8,2,0,6,0,"wspd"
"Pacific",1,NA,NA,NA,NA,NA,"wspd"
"Southeast",5,10,5,0,5,0,"wspd"
"West Coast",6,12,0,0,10,2,"wspd"
